,Open,High,Low,Close,Volume
2024-06-28,197.7300,198.8500,192.5000,193.2500,76930192
2024-06-27,195.0050,199.8400,194.2000,197.8500,74397491
2024-06-26,186.9200,194.8000,186.2600,193.6100,65103893
2024-06-25,186.8100,188.8400,185.4200,186.3400,45898475
2024-06-24,189.3300,191.0000,185.3300,185.5700,50610379
2024-06-21,187.8000,189.2750,185.8600,189.0800,72931754
2024-06-20,182.9100,186.5100,182.7200,186.1000,44726779
2024-06-18,183.7350,184.2900,181.4300,182.8100,36659157
2024-06-17,182.5200,185.0000,181.2200,184.0600,35601907
2024-06-14,183.0800,183.7200,182.2300,183.6600,25456410
2024-06-13,186.0900,187.6700,182.6660,183.8300,39721545
2024-06-12,188.0150,188.3500,185.4300,186.8900,33984216
2024-06-11,187.0600,187.7700,184.5373,187.2300,27265108
2024-06-10,184.0700,187.2300,183.7900,187.0600,34494498
2024-06-07,184.9000,186.2888,183.3600,184.3000,28021473
2024-06-06,181.7450,185.0000,181.4900,185.0000,31371151
2024-06-05,180.1000,181.5000,178.7500,181.2800,32116394
2024-06-04,177.6400,179.8200,176.4400,179.3400,27198388
2024-06-03,177.7000,178.7000,175.9200,178.3400,30786640
2024-05-31,178.3000,179.2100,173.8700,176.4400,58903939
2024-05-30,181.3100,181.3400,178.3550,179.3200,29249229
2024-05-29,181.7000,184.0800,181.5500,182.0200,32009294
2024-05-28,179.9300,182.2400,179.4900,182.1500,29926963
2024-05-24,181.6500,182.4350,180.3000,180.7500,27471640
2024-05-23,183.6600,184.7600,180.0800,181.0500,33670173
2024-05-22,183.8800,185.2200,181.9715,183.1300,28148784
2024-05-21,182.3000,183.2600,180.7500,183.1500,50839129
2024-05-20,184.3400,186.6650,183.2800,183.5400,30511768
2024-05-17,183.7600,185.3000,183.3500,184.7000,33175655
2024-05-16,185.6000,187.3100,183.4600,183.6300,38834450
2024-05-15,185.9700,186.7193,182.7300,185.9900,75459927
2024-05-14,183.8200,187.7200,183.4500,187.0700,38698155
2024-05-13,188.0000,188.3100,185.3600,186.5700,24898613
2024-05-10,189.1600,189.8920,186.9300,187.4800,34141771
2024-05-09,188.8800,191.7000,187.4400,189.5000,43368377
2024-05-08,187.4400,188.4300,186.3850,188.0000,26136350
2024-05-07,188.9200,189.9400,187.3050,188.7600,34048902
2024-05-06,186.2800,188.7450,184.8000,188.7000,34725295
2024-05-03,186.9900,187.8700,185.4200,186.2100,39172004
2024-05-02,180.8500,185.1000,179.9100,184.7200,54303510
2024-05-01,181.6350,185.1500,176.5600,179.0000,94645148
2024-04-30,181.0900,182.9900,174.8000,175.0000,94639786
2024-04-29,182.7500,183.5300,179.3900,180.9600,54063937
2024-04-26,177.7950,180.8200,176.1300,179.6200,43919765
2024-04-25,169.6800,173.9200,166.3200,173.6700,49249390
2024-04-24,179.9400,180.3230,176.1800,176.5900,34185109
2024-04-23,178.0800,179.9300,175.9750,179.5400,37046519
2024-04-22,176.9400,178.8700,174.5600,177.2300,37924890
2024-04-19,178.7400,179.0000,173.4400,174.6300,56000729
2024-04-18,181.4700,182.3900,178.6500,179.2200,30723793
2024-04-17,184.3100,184.5700,179.8200,181.2800,31359673
2024-04-16,183.2700,184.8300,182.2600,183.3200,32891265
2024-04-15,187.4250,188.6900,183.0000,183.6200,48052395
2024-04-12,187.7200,188.3800,185.0800,186.1300,38608849
